review_schema_version,experiment_id,benchmark_id,spotify_track_id,expected_title,expected_artists,expected_duration_seconds,successful_query,discovery_mode,query_variant_index,query_artist,candidate_rank,candidate_video_id,candidate_url,candidate_title,candidate_uploader,candidate_channel,candidate_duration_seconds,candidate_view_count,candidate_description,candidate_review_label,candidate_note,track_note
stage5b4c-human-review-v1,STAGE5B4C_ARTIST_QUERY_DECOMPOSITION_V1,stage5b4_representative_v3_010,1cBNzkPsAdI7XJaKIsjKUk,"Girl, Interrupted",2xxx | Miso,180.972,"Girl, Interrupted Miso",SINGLE_ARTIST_ZERO_RESULT_FALLBACK,2,Miso,1,DpXA_N3jnvE,https://www.youtube.com/watch?v=DpXA_N3jnvE,"Girl, Interrupted",2xxx - Topic,2xxx - Topic,181.0,152221,"Provided to YouTube by Universal Music Group Girl, Interrupted · 2xxx · MISO Life ℗ 2017 you.wiil.knovv Released on: ...",IDEAL,"Exact title; official Topic upload; description credits 2xxx and MISO; duration matches Spotify within 0.028 seconds.","Sequential review stopped at rank 1 after the first SAFE label."
stage5b4c-human-review-v1,STAGE5B4C_ARTIST_QUERY_DECOMPOSITION_V1,stage5b4_representative_v3_010,1cBNzkPsAdI7XJaKIsjKUk,"Girl, Interrupted",2xxx | Miso,180.972,"Girl, Interrupted Miso",SINGLE_ARTIST_ZERO_RESULT_FALLBACK,2,Miso,2,3ldYv7cwom4,https://www.youtube.com/watch?v=3ldYv7cwom4,"2xxx! - 02 Girl, Interrupted ft. Miso",Dan N,Dan N,183.0,101028,From 2xxx!'s first EP Life.,,,
stage5b4c-human-review-v1,STAGE5B4C_ARTIST_QUERY_DECOMPOSITION_V1,stage5b4_representative_v3_010,1cBNzkPsAdI7XJaKIsjKUk,"Girl, Interrupted",2xxx | Miso,180.972,"Girl, Interrupted Miso",SINGLE_ARTIST_ZERO_RESULT_FALLBACK,2,Miso,3,Bk0gP8ZXRsA,https://www.youtube.com/watch?v=Bk0gP8ZXRsA,"Girl, Interrupted - 2xxx! (ft. Miso)",Club Eskimo - Vietnam Fanpage,Club Eskimo - Vietnam Fanpage,171.0,7898,source : #2xxx! (youtube),,,
