review_schema_version,experiment_id,benchmark_id,spotify_track_id,expected_title,expected_artists,expected_album,expected_duration_seconds,selected_rank,candidate_video_id,candidate_url,candidate_title,candidate_uploader,candidate_channel,candidate_duration_seconds,candidate_view_count,candidate_description,candidate_review_label,candidate_note,track_note
stage5b3-minimal-selector-human-review-v1,STAGE5B3_MINIMAL_YOUTUBE_SELECTOR_V1,stage5b_youtube_prior_v1_015,31inMSh6ThzDT0hZJboU6X,Read Me,HA:TFELT | punchnello,MEiNE,243.326,2,yBy0vr-nYzg,https://www.youtube.com/watch?v=yBy0vr-nYzg,Lyrics [ENG/KOR] HA:TFELT - Read Me(나란 책) (Feat. PUNCHNELLO),YT Rhythm,YT Rhythm,244.0,2512,"Thank you for watching Please Subscribe ! YT Rhythm - This channel is to share some hidden, but terrific songs of Korea. So we ...",,,
stage5b3-minimal-selector-human-review-v1,STAGE5B3_MINIMAL_YOUTUBE_SELECTOR_V1,stage5b_youtube_prior_v1_021,7oQqeRSV38YqkRv2UGvmbS,WE GO,fromis_9,9 WAY TICKET,175.946,3,sWyZMFmTfQs,https://www.youtube.com/watch?v=sWyZMFmTfQs,fromis_9 (프로미스나인) - WE GO Lyrics (Han/Rom/Eng/Color Coded/Lyrics/가사) | bingsoosh,bingsoosh,bingsoosh,176.0,2624051,FROMIS_9 #WE_GO #9WAY_TICKET Watch with 720p for HD experience Subscribe if you haven't Thank you for watching!,,,
stage5b3-minimal-selector-human-review-v1,STAGE5B3_MINIMAL_YOUTUBE_SELECTOR_V1,stage5b_youtube_prior_v1_028,22DH8NChecsgPxDjA4pqer,Tough,Quavo | Lana Del Rey,Tough,188.828,2,FeeVnBhQwZE,https://www.youtube.com/watch?v=FeeVnBhQwZE,"Quavo, Lana Del Rey - Tough (Lyrics)",Vibe Music,Vibe Music,190.0,768307,"Quavo, Lana Del Rey - Tough Stream/Download: (Lyrics): [Chorus: Lana Del Rey] Tough like the scuff on a pair of old leather ...",,,
stage5b3-minimal-selector-human-review-v1,STAGE5B3_MINIMAL_YOUTUBE_SELECTOR_V1,stage5b_youtube_prior_v1_043,6D7ub5xZYc7oLq6JDFIm8c,Anybody,shae | WIMY,Anybody,197.595,2,MunZpl35-p4,https://www.youtube.com/watch?v=MunZpl35-p4,"shae, WIMY - Anybody (official lyric video)",BAD KIDS,BAD KIDS,198.0,224776,stream on spotify!!! https://open.spotify.com/track/6D7ub5xZYc7oLq6JDFIm8c?si=99287d1a59dd4ac6 Producer: Reny Lee Music ...,,,
stage5b3-minimal-selector-human-review-v1,STAGE5B3_MINIMAL_YOUTUBE_SELECTOR_V1,stage5b_youtube_prior_v1_044,7uGZIgNGAM4y7cyLj9SPlw,Love In My Heart,BABYMONSTER,DRIP,192.186,2,Kh3C_rEsVRQ,https://www.youtube.com/watch?v=Kh3C_rEsVRQ,BABYMONSTER (베이비몬스터) 'Love In My Heart' (Color Coded Lyrics),Jaeguchi,Jaeguchi,190.0,2214809,"All Rights Administered by YG Entertainment. Special thanks to ZEPETO Face Creator: ⚰️ @not.ur_type (Ruka, Pharita) Fairy ...",,,
stage5b3-minimal-selector-human-review-v1,STAGE5B3_MINIMAL_YOUTUBE_SELECTOR_V1,stage5b_youtube_prior_v1_046,3QD0Y1tTngihByjdWC99lG,Killing Me,CHUNG HA,Killing Me,164.053,3,f88WxriTKW0,https://www.youtube.com/watch?v=f88WxriTKW0,CHUNG HA Killing Me Lyrics (청하 Killing Me 가사) [Color Coded Lyrics/Han/Rom/Eng],Lemoring,Lemoring,172.0,1212868,BY-LEMORING All Rights Administered By MNH Entertainment ☆Thank you for watching!☆ ♥ Sorry for any mistakes ...,,,
stage5b3-minimal-selector-human-review-v1,STAGE5B3_MINIMAL_YOUTUBE_SELECTOR_V1,stage5b_youtube_prior_v1_047,60jFaQV7Z4boGC4ob5B5c6,TT,TWICE,Twicecoaster: Lane 1,212.986,2,9uypQGzzhns,https://www.youtube.com/watch?v=9uypQGzzhns,"TWICE(트와이스) ""TT"" Dance Practice Video",TWICE,TWICE,218.0,79634664,"TWICE(트와이스) ""TT"" Dance Practice Video TWICE 3rd Mini Album ""TWICEcoaster : LANE 1"" iTunes & Apple Music ...",,,
stage5b3-minimal-selector-human-review-v1,STAGE5B3_MINIMAL_YOUTUBE_SELECTOR_V1,stage5b_youtube_prior_v1_055,5dF22XUGeNAR3GBhMgshgp,NEON,YUKIKA,NEON,220.795,2,Mm2PW9CZHJc,https://www.youtube.com/watch?v=Mm2PW9CZHJc,유키카 YUKIKA - 04. 「네온 NEON」 (Official Audio),ESTIMATE 유키카 YUKIKA,ESTIMATE 유키카 YUKIKA,222.0,332579,YUKIKA 1st ALBUM - 「서울여자 (SOUL LADY)」 Tr.04 Release: 2020.07.21. 6PM / LISTEN▶️ https://lnk.to/soullady NOW ...,,,
stage5b3-minimal-selector-human-review-v1,STAGE5B3_MINIMAL_YOUTUBE_SELECTOR_V1,stage5b_youtube_prior_v1_077,5U7emXCoCl8EOEJUVNbguC,Lxxk 2 U,YENA,ˣ‿ˣ (SMiLEY),182.853,2,rquH4qEfRHA,https://www.youtube.com/watch?v=rquH4qEfRHA,YENA (최예나) – Lxxk 2 U Lyrics (Color Coded Han/Rom/Eng),lovelyeonwoo,lovelyeonwoo,183.0,30534,Artist: YENA (최예나) Song: Lxxk 2 U Album: 'ˣ‿ˣ (SMiLEY)' Debut EP HAN/ROM: ColorCodedLyrics (from ...,,,
